,Product,Date,MERGE,SNOW%,LAND %,SEA %,DATA Count,Test_P_1,Test_P_2,Test_P_3,Test_P_4,Test_P_5
39,H13,20130106,0,17.63247817850251,30.043731520334273,52.32379030116322,56481,-2.0,-2.0,-2.0,0.0,-2.0
40,H13,20130107,1,18.043235778403357,29.632973920433418,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
41,H13,20130108,1,18.108744533559957,29.56746516527682,52.32379030116322,56481,94.0,94.0,0.0,0.0,0.0
42,H13,20130109,1,18.37077955418637,29.305430144650412,52.32379030116322,56481,94.0,94.0,0.0,0.0,0.0
43,H13,20130110,1,18.296418264549146,29.37979143428764,52.32379030116322,56481,120.0,1.0,0.0,0.0,0.0
44,H13,20130111,1,18.453993378304204,29.222216320532567,52.32379030116322,56481,134.0,1.0,0.0,0.0,3.0
45,H13,20130112,1,18.46461641968095,29.211593279155824,52.32379030116322,56481,121.0,0.0,0.0,0.0,2.0
46,H13,20130113,1,18.415042226589463,29.26116747224731,52.32379030116322,56481,94.0,0.0,0.0,0.0,0.0
47,H13,20130114,1,18.6133389989554,29.062870699881376,52.32379030116322,56481,121.0,121.0,0.0,0.0,2.0
48,H13,20130115,1,18.680618261008135,28.99559143782865,52.32379030116322,56481,134.0,107.0,0.0,0.0,1.0
49,H13,20130116,1,18.824029319594203,28.852180379242576,52.32379030116322,56481,133.0,1.0,0.0,0.0,94.0
50,H13,20130117,1,18.4168127334856,29.25939696535118,52.32379030116322,56481,120.0,121.0,0.0,0.0,108.0
51,H13,20130118,1,18.227368495600288,29.448841203236487,52.32379030116322,56481,133.0,3.0,0.0,0.0,94.0
52,H13,20130119,0,18.227368495600288,29.448841203236487,52.32379030116322,56481,-2.0,-2.0,-2.0,0.0,-2.0
53,H13,20130120,1,18.639896602397272,29.03631309643951,52.32379030116322,56481,0.0,5.0,0.0,0.0,2.0
54,H13,20130121,1,18.507108585187936,29.16910111364884,52.32379030116322,56481,121.0,95.0,0.0,0.0,3.0
55,H13,20130122,0,18.507108585187936,29.16910111364884,52.32379030116322,56481,-2.0,-2.0,-2.0,0.0,-2.0
56,H13,20130123,0,18.507108585187936,29.16910111364884,52.32379030116322,56481,-2.0,-2.0,-2.0,0.0,-2.0
57,H13,20130124,0,18.507108585187936,29.16910111364884,52.32379030116322,56481,-2.0,-2.0,-2.0,0.0,-2.0
58,H13,20130125,0,18.507108585187936,29.16910111364884,52.32379030116322,56481,-2.0,-2.0,-2.0,0.0,-2.0
59,H13,20130126,0,18.507108585187936,29.16910111364884,52.32379030116322,56481,-2.0,-2.0,-2.0,0.0,-2.0
60,H13,20130127,1,19.125015491935343,28.551194206901435,52.32379030116322,56481,0.0,0.0,0.0,0.0,94.0
61,H13,20130128,1,19.091375860908983,28.584833837927796,52.32379030116322,56481,49.0,0.0,0.0,0.0,1.0
62,H13,20130129,1,19.163966643650085,28.512243055186698,52.32379030116322,56481,118.0,4.0,0.0,0.0,94.0
63,H13,20130130,1,19.225934385014426,28.45027531382235,52.32379030116322,56481,128.0,107.0,0.0,0.0,0.0
64,H13,20130131,1,19.078982312636114,28.597227386200668,52.32379030116322,56481,121.0,0.0,0.0,0.0,94.0
65,H13,20130201,1,19.16750765744233,28.50870204139445,52.32379030116322,56481,109.0,5.0,0.0,0.0,3.0
66,H13,20130202,1,19.087834847116724,28.58837485172005,52.32379030116322,56481,133.0,96.0,0.0,0.0,0.0
67,H13,20130203,1,19.172819178130695,28.50339052070608,52.32379030116322,56481,129.0,96.0,0.0,0.0,97.0
68,H13,20130204,1,18.84350489545156,28.832704803385212,52.32379030116322,56481,132.0,0.0,0.0,0.0,2.0
69,H13,20130205,1,18.90193162302367,28.774278075813104,52.32379030116322,56481,144.0,4.0,0.0,0.0,3.0
70,H13,20130206,1,19.142720560896578,28.533489137940194,52.32379030116322,56481,133.0,0.0,0.0,0.0,97.0
71,H13,20130207,1,18.762061578229847,28.91414812060693,52.32379030116322,56481,0.0,0.0,0.0,0.0,111.0
72,H13,20130208,1,18.710716878242238,28.965492820594534,52.32379030116322,56481,0.0,0.0,0.0,0.0,1.0
73,H13,20130209,1,18.376091074874736,29.30011862396204,52.32379030116322,56481,0.0,0.0,0.0,0.0,96.0
74,H13,20130210,1,18.18664683698944,29.489562861847347,52.32379030116322,56481,82.0,0.0,0.0,0.0,110.0
75,H13,20130211,1,18.71425789203448,28.96195180680229,52.32379030116322,56481,122.0,0.0,0.0,0.0,96.0
76,H13,20130212,1,19.047113188505875,28.62909651033091,52.32379030116322,56481,0.0,0.0,0.0,0.0,96.0
77,H13,20130213,1,19.241868947079553,28.434340751757226,52.32379030116322,56481,130.0,2.0,0.0,0.0,1.0
78,H13,20130214,1,19.215311343637694,28.46089835519909,52.32379030116322,56481,144.0,110.0,0.0,0.0,97.0
79,H13,20130215,1,19.229475398806684,28.446734300030098,52.32379030116322,56481,131.0,0.0,0.0,0.0,97.0
80,H13,20130216,1,18.963899364388027,28.712310334448755,52.32379030116322,56481,109.0,3.0,0.0,0.0,1.0
81,H13,20130217,1,18.62927356102051,29.04693613781626,52.32379030116322,56481,138.0,97.0,0.0,0.0,96.0
82,H13,20130218,1,18.627503054124404,29.04870664471238,52.32379030116322,56481,128.0,0.0,0.0,0.0,96.0
83,H13,20130219,1,18.659372178254642,29.016837520582143,52.32379030116322,56481,163.0,97.0,0.0,0.0,97.0
84,H13,20130220,1,18.577928861032916,29.098280837803863,52.32379030116322,56481,162.0,97.0,0.0,0.0,82.0
85,H13,20130221,1,18.287565730068522,29.388643968768257,52.32379030116322,56481,0.0,0.0,0.0,0.0,96.0
86,H13,20130222,1,19.18167171261132,28.494537986225453,52.32379030116322,56481,149.0,5.0,0.0,0.0,2.0
87,H13,20130223,1,19.358722402223762,28.31748729661302,52.32379030116322,56481,0.0,0.0,0.0,0.0,96.0
88,H13,20130224,1,18.90724314371205,28.76896655512473,52.32379030116322,56481,55.0,0.0,0.0,0.0,96.0
89,H13,20130225,1,18.960358350595783,28.715851348241,52.32379030116322,56481,123.0,82.0,0.0,0.0,97.0
90,H13,20130226,1,18.832881854074827,28.84332784476196,52.32379030116322,56481,149.0,97.0,0.0,0.0,96.0
91,H13,20130227,1,19.01878507816788,28.6574246206689,52.32379030116322,56481,121.0,83.0,0.0,0.0,111.0
92,H13,20130228,1,18.77091411271047,28.905295586126307,52.32379030116322,56481,0.0,0.0,0.0,0.0,3.0
93,H13,20130301,1,18.4823214886422,29.19388821019458,52.32379030116322,56481,0.0,0.0,0.0,0.0,103.0
94,H13,20130302,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
95,H13,20130303,0,18.4823214886422,29.19388821019458,52.32379030116322,56481,-2.0,-2.0,-2.0,0.0,-2.0
96,H13,20130304,0,18.4823214886422,29.19388821019458,52.32379030116322,56481,-2.0,-2.0,-2.0,0.0,-2.0
97,H13,20130305,0,18.4823214886422,29.19388821019458,52.32379030116322,56481,-2.0,-2.0,-2.0,0.0,-2.0
98,H13,20130306,0,18.4823214886422,29.19388821019458,52.32379030116322,56481,-2.0,-2.0,-2.0,0.0,-2.0
99,H13,20130307,0,18.4823214886422,29.19388821019458,52.32379030116322,56481,-2.0,-2.0,-2.0,0.0,-2.0
100,H13,20130308,0,18.4823214886422,29.19388821019458,52.32379030116322,56481,-2.0,-2.0,-2.0,0.0,-2.0
101,H13,20130309,0,18.4823214886422,29.19388821019458,52.32379030116322,56481,-2.0,-2.0,-2.0,0.0,-2.0
102,H13,20130310,0,18.4823214886422,29.19388821019458,52.32379030116322,56481,-2.0,-2.0,-2.0,0.0,-2.0
103,H13,20130311,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
104,H13,20130312,0,18.4823214886422,29.19388821019458,52.32379030116322,56481,-2.0,-2.0,-2.0,0.0,-2.0
105,H13,20130313,1,19.059506736778744,28.61670296205804,52.32379030116322,56481,0.0,0.0,0.0,0.0,102.0
106,H13,20130314,1,19.009932543687256,28.666277155149515,52.32379030116322,56481,36.0,0.0,0.0,0.0,118.0
107,H13,20130315,1,18.94619429542678,28.730015403409997,52.32379030116322,56481,23.0,0.0,0.0,0.0,118.0
108,H13,20130316,1,18.659372178254642,29.016837520582143,52.32379030116322,56481,0.0,0.0,0.0,0.0,118.0
109,H13,20130317,1,18.26809015421115,29.408119544625627,52.32379030116322,56481,150.0,0.0,0.0,0.0,103.0
110,H13,20130318,1,18.5478302437988,29.12837945503798,52.32379030116322,56481,54.0,0.0,0.0,0.0,88.0
111,H13,20130319,1,18.838193374763193,28.838016324073585,52.32379030116322,56481,132.0,59.0,0.0,0.0,88.0
112,H13,20130320,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
113,H13,20130321,0,18.838193374763193,28.838016324073585,52.32379030116322,56481,-2.0,-2.0,-2.0,0.0,-2.0
114,H13,20130322,0,18.838193374763193,28.838016324073585,52.32379030116322,56481,-2.0,-2.0,-2.0,0.0,-2.0
115,H13,20130323,0,18.838193374763193,28.838016324073585,52.32379030116322,56481,-2.0,-2.0,-2.0,0.0,-2.0
116,H13,20130324,0,18.838193374763193,28.838016324073585,52.32379030116322,56481,-2.0,-2.0,-2.0,0.0,-2.0
117,H13,20130325,1,19.123244985039207,28.552964713797564,52.32379030116322,56481,103.0,0.0,0.0,0.0,88.0
118,H13,20130326,1,19.381738991873377,28.294470706963402,52.32379030116322,56481,87.0,0.0,0.0,0.0,103.0
119,H13,20130327,1,19.422460650484226,28.253749048352546,52.32379030116322,56481,0.0,0.0,0.0,0.0,117.0
120,H13,20130328,1,19.358722402223762,28.31748729661302,52.32379030116322,56481,59.0,0.0,0.0,0.0,88.0
121,H13,20130329,1,19.16219613675395,28.514013562082823,52.32379030116322,56481,0.0,0.0,0.0,0.0,73.0
122,H13,20130330,0,19.16219613675395,28.514013562082823,52.32379030116322,56481,-2.0,-2.0,-2.0,0.0,-2.0
123,H13,20130331,1,19.025867105752383,28.6503425930844,52.32379030116322,56481,150.0,0.0,0.0,0.0,88.0
124,H13,20130401,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
125,H13,20130402,1,18.71248738513836,28.963722313698415,52.32379030116322,56481,0.0,0.0,0.0,0.0,108.0
126,H13,20130403,1,18.955046829907403,28.721162868929373,52.32379030116322,56481,0.0,0.0,0.0,0.0,108.0
127,H13,20130404,1,19.034719640232993,28.64149005860378,52.32379030116322,56481,0.0,0.0,0.0,0.0,94.0
128,H13,20130405,1,18.96744037818027,28.7087693206565,52.32379030116322,56481,0.0,0.0,0.0,0.0,107.0
129,H13,20130406,1,19.179901205715197,28.49630849312158,52.32379030116322,56481,0.0,0.0,0.0,0.0,121.0
130,H13,20130407,1,19.250721481560177,28.425488217276605,52.32379030116322,56481,0.0,0.0,0.0,0.0,94.0
131,H13,20130408,1,19.390591526354,28.285618172482778,52.32379030116322,56481,0.0,0.0,0.0,0.0,107.0
132,H13,20130409,1,19.245409960871797,28.43079973796498,52.32379030116322,56481,0.0,0.0,0.0,0.0,107.0
133,H13,20130410,1,19.075441298843856,28.600768399992916,52.32379030116322,56481,0.0,0.0,0.0,0.0,93.0
134,H13,20130411,1,19.009932543687256,28.666277155149515,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
135,H13,20130412,1,19.00462102299889,28.671588675837896,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
136,H13,20130413,1,19.133868026415968,28.54234167242081,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
137,H13,20130414,0,19.133868026415968,28.54234167242081,52.32379030116322,56481,-2.0,-2.0,-2.0,0.0,-2.0
138,H13,20130415,0,19.133868026415968,28.54234167242081,52.32379030116322,56481,-2.0,-2.0,-2.0,0.0,-2.0
139,H13,20130416,0,19.133868026415968,28.54234167242081,52.32379030116322,56481,-2.0,-2.0,-2.0,0.0,-2.0
140,H13,20130417,1,18.894849595439183,28.781360103397603,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
141,H13,20130418,1,18.432747295550712,29.243462403286063,52.32379030116322,56481,0.0,0.0,0.0,0.0,0.0
